52
명중 대미지(근) 명중 대미지(원) ER AC HP증가 HP회복 MR MP회복 refine Bonus MP회복+ MP감소 MB chaSlot
State 0 -2 -3 -3 -3 0 8 -2 1 0 1 -10 1 0 -2 0
State 1 -2 -3 -3 -3 0 8 -2 1 0 1 -9 1 0 -2 0
State 2 -2 -3 -3 -3 1 8 -2 1 0 1 -8 1 0 -2 1
State 3 -2 -3 -2 -2 1 8 -2 1 0 1 -8 1 0 -2 1
State 4 -2 -2 -2 -2 2 8 -1 1 0 1 -7 1 0 -2 2
State 5 -2 -2 -2 -2 2 8 -1 1 0 1 -7 1 0 -2 2
State 6 -1 -2 -1 -1 3 8 -1 1 0 1 -6 1 0 -1 3
State 7 -1 -2 -1 -1 3 8 0 1 0 1 -6 1 0 -1 3
State 8 -1 -2 0 0 4 8 0 1 0 1 -6 1 0 -1 4
State 9 -1 -1 0 0 4 8 0 1 0 1 -5 1 0 0 4
State 10 0 -1 0 0 5 7 0 1 0 1 -5 1 0 0 5
State 11 0 0 0 0 5 7 0 1 0 1 -5 1 0 0 5
State 12 1 0 1 0 6 7 0 1 0 1 -4 2 0 1 6
State 13 1 1 1 0 6 6 0 1 0 1 -3 3 1 1 6
State 14 2 1 2 0 7 6 0 2 0 1 -1 4 2 1 7
State 15 2 2 2 1 7 6 0 3 3 2 1 5 3 2 7
State 16 3 2 3 2 8 5 1 4 3 2 4 6 4 2 8
State 17 3 3 3 3 8 5 2 5 6 3 7 7 5 2 8
State 18 4 3 4 4 9 4 3 6 10 3 10 8 6 3 9
State 19 4 4 5 4 9 4 4 7 15 3 13 9 6 4 9
State 20 4 4 6 4 10 4 5 8 21 3 15 10 7 5 10
State 21 5 5 7 5 10 4 6 9 28 3 17 11 7 6 10
State 22 5 5 8 5 11 4 7 10 37 3 18 12 7 7 11
State 23 5 6 9 5 11 4 8 11 47 3 19 13 8 8 11
State 24 6 6 10 6 12 4 9 12 50 3 20 14 8 9 12
State 25 6 6 11 6 12 4 10 13 50 3 20 15 8 10 12
State 26 6 7 12 6 13 4 10 14 50 3 21 16 8 10 13
State 27 7 7 13 7 13 4 10 15 50 3 21 17 9 10 13
State 28 7 7 14 7 14 4 10 16 50 3 21 18 9 10 14
State 29 7 8 15 7 14 4 10 17 50 3 22 19 9 10 14
State 30 8 8 16 8 15 4 10 18 52 3 22 20 9 10 15
State 31 8 9 17 8 15 4 10 19 52 3 22 21 9 10 15
State 32 8 9 18 8 16 4 10 20 52 3 23 22 9 10 16
State 33 9 10 19 9 16 4 10 21 52 3 23 23 9 10 16
State 34 9 11 20 9 17 4 10 22 52 3 24 24 9 10 17
State 35 9 12 21 9 17 4 10 23 55 3 25 25 9 10 17
State 36 10 12 21 10 18 4 11 24 55 4 25 26 9 11 18
State 37 10 12 22 10 18 4 11 24 55 4 25 27 9 11 18
State 38 11 12 23 10 19 4 11 24 55 4 25 28 9 11 18
State 39 11 13 24 10 19 4 11 24 55 4 25 29 9 11 18
State 40 11 13 24 11 20 3 11 24 59 4 25 30 9 11 18
State 41 12 13 25 11 20 3 11 24 59 4 25 31 9 11 18
State 42 12 13 26 11 21 3 12 24 59 4 25 32 9 11 18
State 43 12 14 27 11 21 3 12 24 59 4 25 33 9 12 20
State 44 13 14 28 12 22 3 12 24 62 4 25 34 9 12 20
State 45 13 14 28 12 22 3 12 24 62 4 25 35 9 12 20
State 46 13 14 29 12 23 3 12 24 62 5 25 36 9 12 20
State 47 14 15 30 12 23 3 12 24 64 5 25 37 9 12 20
State 48 14 15 30 13 24 3 13 24 64 5 25 38 9 12 20
State 49 14 16 30 14 24 3 13 24 64 5 25 39 9 12 20
State 50 15 17 31 15 25 3 14 24 65 5 25 40 9 13 20
